platform,platform_name,date,new_followers,lost_followers,net_followers,gross_revenue,refund_amount,net_revenue,content_count,views,exposure,likes,comments,favorites,shares,coins,danmaku,quality_note,source_file,source_mtime
douyin,抖音,2026-08-03,3,2,1,0.0,0.0,0.0,1,1693,2286,63,10,19,7,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-03T12:00:00+08:00
zhihu,知乎,2026-08-03,13,3,10,0.0,0.0,0.0,0,2005,2707,78,12,22,8,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-03T12:00:00+08:00
bili,B站,2026-08-03,12,4,8,47.24,0.0,47.24,0,2105,2842,86,13,23,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-03T12:00:00+08:00
wechat,公众号,2026-08-03,13,5,8,0.0,0.0,0.0,1,2478,3345,107,15,27,10,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-03T12:00:00+08:00
xhs,小红书,2026-08-04,10,0,10,92.54,7.4,0.0,1,1398,1887,49,8,15,6,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-04T12:00:00+08:00
douyin,抖音,2026-08-04,5,3,2,0.0,0.0,0.0,0,1644,2219,61,10,18,7,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-04T12:00:00+08:00
zhihu,知乎,2026-08-04,9,1,8,0.0,0.0,0.0,0,1938,2616,76,12,21,8,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-04T12:00:00+08:00
bili,B站,2026-08-04,15,4,11,28.04,0.0,28.04,0,2281,3079,94,14,25,9,7,5,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-04T12:00:00+08:00
wechat,公众号,2026-08-04,14,0,14,0.0,0.0,0.0,0,2532,3418,109,15,28,10,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-04T12:00:00+08:00
xhs,小红书,2026-08-05,4,3,1,127.07,10.17,0.0,0,1426,1925,50,9,16,6,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-05T12:00:00+08:00
douyin,抖音,2026-08-05,4,1,3,0.0,0.0,0.0,0,1672,2257,62,10,18,7,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-05T12:00:00+08:00
zhihu,知乎,2026-08-05,5,1,4,0.0,0.0,0.0,1,1928,2603,75,12,21,8,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-05T12:00:00+08:00
bili,B站,2026-08-05,11,4,7,23.03,0.0,23.03,1,2204,2975,90,13,24,9,7,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-05T12:00:00+08:00
wechat,公众号,2026-08-05,10,5,5,0.0,0.0,0.0,0,2480,3348,107,15,27,10,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-05T12:00:00+08:00
xhs,小红书,2026-08-06,4,0,4,118.78,9.5,0.0,0,1470,1985,51,9,16,6,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-06T12:00:00+08:00
douyin,抖音,2026-08-06,10,3,7,0.0,0.0,0.0,0,1707,2304,63,10,19,7,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-06T12:00:00+08:00
zhihu,知乎,2026-08-06,8,0,8,0.0,0.0,0.0,0,2017,2723,79,12,22,8,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-06T12:00:00+08:00
bili,B站,2026-08-06,8,2,6,34.94,0.0,34.94,0,2270,3064,93,14,25,9,7,5,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-06T12:00:00+08:00
wechat,公众号,2026-08-06,11,1,10,0.0,0.0,0.0,1,2562,3459,110,15,28,10,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-06T12:00:00+08:00
xhs,小红书,2026-08-07,3,0,3,95.14,7.61,0.0,1,1509,2037,53,9,17,6,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-07T12:00:00+08:00
douyin,抖音,2026-08-07,7,3,4,0.0,0.0,0.0,1,1817,2453,67,11,20,7,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-07T12:00:00+08:00
zhihu,知乎,2026-08-07,12,3,9,0.0,0.0,0.0,0,1955,2639,76,12,22,8,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-07T12:00:00+08:00
bili,B站,2026-08-07,12,2,10,22.16,0.0,22.16,0,2219,2996,91,13,24,9,7,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-07T12:00:00+08:00
wechat,公众号,2026-08-07,12,3,9,0.0,0.0,0.0,0,2518,3399,108,15,28,10,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-07T12:00:00+08:00
xhs,小红书,2026-08-08,7,1,6,88.58,7.09,0.0,0,1529,2064,54,9,17,6,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-08T12:00:00+08:00
douyin,抖音,2026-08-08,7,3,4,0.0,0.0,0.0,0,1680,2268,62,10,18,7,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-08T12:00:00+08:00
zhihu,知乎,2026-08-08,12,3,9,0.0,0.0,0.0,1,1979,2672,77,12,22,8,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-08T12:00:00+08:00
bili,B站,2026-08-08,15,0,15,59.0,0.0,59.0,0,2291,3093,94,14,25,9,7,5,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-08T12:00:00+08:00
wechat,公众号,2026-08-08,10,1,9,0.0,0.0,0.0,0,2481,3349,107,15,27,10,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-08T12:00:00+08:00
xhs,小红书,2026-08-09,6,0,6,109.84,8.79,0.0,0,1580,2133,55,9,17,6,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-09T12:00:00+08:00
douyin,抖音,2026-08-09,7,2,5,0.0,0.0,0.0,0,1702,2298,63,10,19,7,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-09T12:00:00+08:00
zhihu,知乎,2026-08-09,5,1,4,0.0,0.0,0.0,0,2061,2782,80,12,23,8,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-09T12:00:00+08:00
bili,B站,2026-08-09,8,3,5,31.62,0.0,31.62,1,2250,3038,92,14,25,9,7,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-09T12:00:00+08:00
wechat,公众号,2026-08-09,16,2,14,0.0,0.0,0.0,1,2535,3422,109,15,28,10,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-09T12:00:00+08:00
